4 
time [ms], voltage [V], theta [rad]  
 9.170,  5.000,  0.748  
 9.180,  5.000,  0.748  
 9.190,  5.000,  0.748  
 9.200,  5.000,  0.748  
 9.210,  5.000,  0.748  
 9.220,  5.000,  0.598  
 9.230,  5.000,  0.748  
 9.250,  5.000,  0.748  
 9.260,  5.000,  0.748  
 9.270,  5.000,  0.748  
 9.280,  5.000,  0.748  
 9.290,  5.000,  0.748  
 9.300,  5.000,  0.598  
 9.310,  5.000,  0.748  
 9.320,  5.000,  0.748  
 9.330,  5.000,  0.748  
 9.340,  5.000,  0.748  
 9.350,  5.000,  0.748  
 9.360,  5.000,  0.598  
 9.370,  5.000,  0.748  
 9.380,  5.000,  0.748  
 9.390,  5.000,  0.748  
 9.410,  5.000,  0.748  
 9.420,  5.000,  0.598  
 9.430,  5.000,  0.748  
 9.440,  5.000,  0.748  
 9.450,  5.000,  0.748  
 9.460,  5.000,  0.748  
 9.470,  5.000,  0.748  
 9.480,  5.000,  0.748  
 9.490,  5.000,  0.598  
 9.500,  5.000,  0.748  
 9.510,  5.000,  0.748  
 9.520,  5.000,  0.748  
 9.530,  5.000,  0.748  
 9.540,  5.000,  0.748  
 9.550,  5.000,  0.598  
 9.560,  5.000,  0.748  
 9.580,  5.000,  0.748  
 9.590,  5.000,  0.748  
 9.600,  5.000,  0.748  
 9.610,  5.000,  0.598  
 9.620,  5.000,  0.748  
 9.630,  5.000,  0.748  
 9.640,  5.000,  0.748  
 9.650,  5.000,  0.748  
 9.660,  5.000,  0.748  
 9.670,  5.000,  0.748  
 9.680,  5.000,  0.748  
 9.690,  5.000,  0.598  
 9.700,  5.000,  0.748  
 9.710,  5.000,  0.748  
 9.720,  5.000,  0.748  
 9.730,  5.000,  0.748  
 9.750,  5.000,  0.598  
 9.760,  5.000,  0.748  
 9.770,  5.000,  0.748  
 9.780,  5.000,  0.748  
 9.790,  5.000,  0.748  
 9.800,  5.000,  0.748  
 9.810,  5.000,  0.748  
 9.820,  5.000,  0.748  
 9.830,  5.000,  0.598  
 9.840,  5.000,  0.748  
 9.850,  5.000,  0.748  
 9.860,  5.000,  0.748  
 9.870,  5.000,  0.748  
 9.880,  5.000,  0.748  
 9.890,  5.000,  0.748  
 9.910,  5.000,  0.598  
 9.920,  5.000,  0.748  
 9.930,  5.000,  0.748  
 9.940,  5.000,  0.748  
 9.950,  5.000,  0.748  
 9.960,  5.000,  0.748  
 9.970,  5.000,  0.748  
 9.980,  5.000,  0.748  
 9.990,  5.000,  0.748  
10.000,  0.000,  0.748  
10.010,  0.000,  0.598  
10.020,  0.000,  0.299  
10.030,  0.000,  0.150  
10.040,  0.000,  0.000  
10.050,  0.000,  0.150  
10.060,  0.000,  0.000  
10.070,  0.000,  0.000  
10.090,  0.000,  0.000  
10.100,  0.000,  0.000  
10.110,  0.000,  0.000  
10.120,  0.000,  0.000  
10.130,  0.000,  0.000  
10.140,  0.000,  0.000  
10.150,  0.000,  0.000  
10.160,  0.000,  0.000  
10.170,  0.000,  0.000  
10.180,  0.000,  0.000  
10.190,  0.000,  0.000  
10.200,  0.000,  0.000  
10.210,  0.000,  0.000  
10.220,  0.000,  0.000  
10.230,  0.000,  0.000  
10.240,  0.000,  0.000  
10.250,  0.000,  0.000  
10.260,  0.000,  0.000  
10.280,  0.000,  0.000  
10.290,  0.000,  0.000  
10.300,  0.000,  0.000  
10.310,  0.000,  0.000  
10.320,  0.000,  0.000  
10.330,  0.000,  0.000  
10.340,  0.000,  0.000  
10.350,  0.000,  0.000  
10.360,  0.00
