4 
time [ms], voltage [V], theta [rad]  
 5.240, -5.000, -0.598  
 5.250, -5.000, -0.748  
 5.260, -5.000, -0.748  
 5.280, -5.000, -0.748  
 5.290, -5.000, -0.598  
 5.300, -5.000, -0.748  
 5.310, -5.000, -0.748  
 5.320, -5.000, -0.748  
 5.330, -5.000, -0.748  
 5.340, -5.000, -0.598  
 5.350, -5.000, -0.748  
 5.360, -5.000, -0.748  
 5.370, -5.000, -0.748  
 5.380, -5.000, -0.748  
 5.390, -5.000, -0.748  
 5.400, -5.000, -0.598  
 5.410, -5.000, -0.748  
 5.420, -5.000, -0.748  
 5.440, -5.000, -0.748  
 5.450, -5.000, -0.748  
 5.460, -5.000, -0.598  
 5.470, -5.000, -0.748  
 5.480, -5.000, -0.748  
 5.490, -5.000, -0.748  
 5.500, -5.000, -0.748  
 5.510, -5.000, -0.598  
 5.520, -5.000, -0.748  
 5.530, -5.000, -0.748  
 5.540, -5.000, -0.748  
 5.550, -5.000, -0.748  
 5.560, -5.000, -0.748  
 5.570, -5.000, -0.598  
 5.580, -5.000, -0.748  
 5.590, -5.000, -0.748  
 5.610, -5.000, -0.748  
 5.620, -5.000, -0.748  
 5.630, -5.000, -0.598  
 5.640, -5.000, -0.748  
 5.650, -5.000, -0.748  
 5.660, -5.000, -0.748  
 5.670, -5.000, -0.748  
 5.680, -5.000, -0.748  
 5.690, -5.000, -0.598  
 5.700, -5.000, -0.748  
 5.710, -5.000, -0.748  
 5.720, -5.000, -0.748  
 5.730, -5.000, -0.748  
 5.740, -5.000, -0.748  
 5.750, -5.000, -0.598  
 5.760, -5.000, -0.748  
 5.780, -5.000, -0.748  
 5.790, -5.000, -0.748  
 5.800, -5.000, -0.748  
 5.810, -5.000, -0.598  
 5.820, -5.000, -0.748  
 5.830, -5.000, -0.748  
 5.840, -5.000, -0.748  
 5.850, -5.000, -0.748  
 5.860, -5.000, -0.598  
 5.870, -5.000, -0.748  
 5.880, -5.000, -0.748  
 5.890, -5.000, -0.748  
 5.900, -5.000, -0.748  
 5.910, -5.000, -0.598  
 5.920, -5.000, -0.748  
 5.930, -5.000, -0.748  
 5.950, -5.000, -0.748  
 5.960, -5.000, -0.748  
 5.970, -5.000, -0.598  
 5.980, -5.000, -0.748  
 5.990, -5.000, -0.748  
 6.000,  0.000, -0.748  
 6.010,  0.000, -0.598  
 6.020,  0.000, -0.299  
 6.030,  0.000, -0.150  
 6.040,  0.000,  0.000  
 6.050,  0.000, -0.150  
 6.060,  0.000,  0.000  
 6.070,  0.000,  0.000  
 6.080,  0.000,  0.000  
 6.090,  0.000,  0.000  
 6.100,  0.000,  0.000  
 6.110,  0.000,  0.000  
 6.130,  0.000,  0.000  
 6.140,  0.000,  0.000  
 6.150,  0.000,  0.000  
 6.160,  0.000,  0.000  
 6.170,  0.000,  0.000  
 6.180,  0.000,  0.000  
 6.190,  0.000,  0.000  
 6.200,  0.000,  0.000  
 6.210,  0.000,  0.000  
 6.220,  0.000,  0.000  
 6.230,  0.000,  0.000  
 6.240,  0.000,  0.000  
 6.250,  0.000,  0.000  
 6.260,  0.000,  0.000  
 6.270,  0.000,  0.000  
 6.280,  0.000,  0.000  
 6.290,  0.000,  0.000  
 6.300,  0.000,  0.000  
 6.320,  0.000,  0.000  
 6.330,  0.000,  0.000  
 6.340,  0.000,  0.000  
 6.350,  0.000,  0.000  
 6.360,  0.000,  0.000  
 6.370,  0.000,  0.000  
 6.380,  0.000,  0.000  
 6.390,  0.000,  0.000  
 6.400,  0.000,  0.000  
 6.410,  0.000,  0.000  
 6.420,  0.000,  0.000  
 6.430,  0.000,  0.000  
 6.440,  0.000,  0.000  
 6.450,  0.000,  0.000  
 6.460,  0.000,  0.000  
 6.470,  0.000,  0.000  
 6.480,  0.000,  0.000  
 6.490,  0.000,  0.000  
 6.500,  0.000,  0.000  
 6.520,  0.000,  0.000  
 6.530,  0.000,  0.000  
 6.540,  0.000,  0.000  
 6.550,  0.000,  0.000  
 6.560,  0.000,  0.000  
 6.570,  0.000,  0.000  
 6.580,  0.000,  0.000  
 6.590,  0.000,  0.000  
 6.600,  0.000,  0.000  
 6.610,  0.000,  0.000  
 6.620,  0.000,  0.000  
 6.630,  0.000,  0.000  
 6.640,  0.000,  0.000  
 6.650,  0.000,  0.000  
 6.660,  0.000,  0.000  
 6.670,  0.000,  0.000  
 6.680,  0.000,  0.000  
 6.690,  0.000,  0.000  
 6.700,  0.000,  0.000  
 6.720,  0.000,  0.000  
 6.730,  0.000,  0.000  
 6.740,  0.000,  0.000  
